Stationscode;Stationsname;Netzwerk;Schadstoff;Datentyp;Zeit;"Messwert (in �g/m�)"
DEBB007;Elsterwerda;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";89
DEBW027;Reutlingen;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";95
DEBY067;"Schwandorf/Wackersdorfer Stra�e";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";97
DEHE030;Marburg;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";109
DENI043;Emsland;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";72
DENW094;Aachen-Burtscheid;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";78
DESH015;Itzehoe;SH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";63
DEST104;"Dom�ne Bobbe";ST;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";84
DEBB032;Eisenh�ttenstadt;BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";75
DEBW033;Pforzheim;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";106
DEBY075;"Weiden i.d.OPf./Nikolaistra�e";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";73
DEHE042;Linden/Leihgestern;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";91
DENI053;S�doldenburg;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";67
DENW114;Wuppertal-Langerfeld;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";83
DESH035;"Brunsb�ttel-Cuxhavener Stra�e";SH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";57
DETH005;Saalfeld;TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";86
DEBB055;"Brandenburg a.d. Havel";BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";64
DEBW042;Bernhausen;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";111
DEBY088;Trostberg/Schwimmbadstra�e;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";96
DEHE045;Michelstadt;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";98
DENI059;Elbm�ndung;NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";75
DERP001;Ludwigshafen-Oppau;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";104
DESN045;Zittau-Ost;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";92
DETH013;"Eisenach Wernebrg.Str";TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";94
DEBB065;"L�tte (Belzig)";BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";64
DEBW059;Tauberbischofsheim;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";102
DEBY099;Augsburg/LfU;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";88
DEHE051;Wasserkuppe;HE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";103
DENI063;"Altes Land";NI;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";67
DERP014;Hunsr�ck-Leisel;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";84
DESN052;Zinnwald;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";89
DETH026;Drei�igacker;TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";94
DEBB075;"Potsdam, Gro� Glienicke";BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";63
DEBW081;Karlsruhe-Nordwest;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";106
DEBY122;"Bad Hindelang/Oberjoch";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";96
DEHH008;"Hamburg Sternschanze";HH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";63
DENW006;L�nen-Niederaden;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";58
DERP017;Pf�lzerwald-Hortenkopf;RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";92
DESN061;Dresden-Nord;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";84
DETH041;"Jena Dammstr.";TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";82
DEBB092;"Frankfurt (Oder)";BB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";74
DEBW107;T�bingen;BW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";90
DEBY189;M�nchen/Allach;BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";93
DEHH050;"Hamburg Neugraben";HH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";71
DENW021;Bottrop-Welheim;NW;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";48
DERP022;"Bad Kreuznach-Bosenheimer Stra�e";RP;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";78
DESN079;Niesky;SN;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";84
DETH061;Hummelshain;TH;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";92
DEBE032;"B Grunewald (3.5 m)";BE;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";62
DEBY004;"Kleinwallstadt/Hofstetter Stra�e";BY;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";106
DEHB002;Bremen-Ost;HB;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";54
DEMV012;L�cknitz;MV;"Ozon (O3)";"1-Stunden Mittelwert (1SMW)";"04.07.2017 15:00";59
